,Name,Bio
@ronenagranat,The Ronendalorian,Husband • Full-stack software developer and team lead at @PlanetBooking • #react #javascript #node #ruby #java • formerly @amazon @awscloud @jumo_world
@VankarRohan,Rohan Vankar,IIM-Indore | Private Equity | Venture Capital | Investment Banking | Real Estate | Equity Research | ACMA | CFP | CWM | CFA Candidate
@murkhaa,Sushant Khanal,Seeking wisdom in books and nature. An ultra-realist. A Thalesian. https://medium.com/@sushantkhanal
@RegulateGmos,Regulate GMOs,We aim to educate the American public on deficits in the current regulation of GMOs and facilitate remediating action.
@HessburgThomas,ThomasHessburg,software developer/music lover/dog person @LambdaSchool
@CatAltDel,Kelvin,
@hmedbel,Ahmed Belhadj,A full-stack software engineer dedicated to building a better web that is more accessible and enjoyable for all people.
@royalbl45581901,royalblue,
@drjoshpackard,Josh Packard,"Sociologist. Speaker. Consultant. Host of The Bias Disruption podcast. CEO of The Packard Group, change management consulting."
@AndreyT1981,AndreyT1981,#Follow #Followback #Bitcointalk #Bitcoin #Ethereum #cryptocurrency #Blockchain #ICO #Bounty #Airdrop #BTC #ETH #Free #Crypto #Following #BountyHunter
@Bythemakers,The Makers,We build communities for companies you love! Your local entrepreneurs community!
@SpokenFirmly,ALTCULT,Mind Control Experiment Gone Surprisingly Well. #GG33
@christoq,Strictly,#Bernie2020 #AOC #TheSquad #ImpeachTrump #ImpeachmentTaskForce #FBR #RESIST Buy Strictly a coffee: http://buymeacoffee.com/Ue3Z0w6Cm
@DivineGisell,Gisell,"Wherever your heart is, that is where you'll find your treasure. -P.Coehlo"
@Pokiehead,ChuckMelendezJansen,Dominican @ Bayarea _ Techie _ MTG_Foodie_Take my advice i dont use it anyways..
@AmeerSameerKhan,Ameer Sameer Khan,"Only when I let go of what I am, I can become what I might be."
@CraigTraynor1,Craig Traynor,Head of Creative Technology @MadeBrave
@MezherDurmus,Mezher Durmuş,Civil Engineer-Public Servant-Chess Player-Music Lover (Follow Me)/ İkizler-Sinema+Kitapsever-7 Dilbilen-İTÜ İnşaat Mühendisi-İÜ Memuru-Sporcu /{-}Takip Edin{-}
@vertis,Luke Chadwick,Founder of http://graphql360.com. Digital Nomad. Previously Lead Engineer at REALABS. DMs open.
@KevinNTH,Kevin Nguyen,Maker of @GekriApp . Sr. software developer. Ex Gmelius. Ex CrossKnowledge. #javascript #vuejs #nodejs
@Ramon773,Ramon Is King,"Music artist,producer & Influencer."
@arron2829288191,Arron,"""In a time of universal deceit, telling the truth becomes a revolutionary act""-George Orwell/ #HandsOffActivists #EndImpunity #DefendPressFreedom"
@DavidRahimi,David Rahimi,Currently human. Open sourcing my thoughts. For official PhoneBuff updates follow @PhoneBuff
@Stephan05326663,Stephany55,Viviendo la vida intensamente Instagram @stephany160518 Makeup profesional Cosmetologa
@Brockingtons,Dwayne Williams,"Lover of road trips, green smoothies, van life, Hot Yoga, Chicago, NYC, Toronto & dystopian novels."
@KristyZaniq,Quality Assignment Writers,Do you have trouble with your essays?Kendi got you sorted. Affordable prices for you Research/Term papers. Quality work delivered. qualitywriterszaniq@gmail.com
@FConsult66,ForexConsult66,I’m currently a self employed forex trader looking to network and join the conversation.
@zahidbd69,Graphic_Art,work hard success is possible.
@Carverlon,John Gale,Advisor to Startups - Silicon Valley veteran helps startups & investors achieve commercialization and corporate development goals. Blog
@MMMaxAttack,Michael Maxwell,"Appalachian Trail Class of 2017, Silver Stacker, Stock Trader and Investor. Gun Owner. Wake up! Truth Seeker! Subscribe to my channel!"
@SereneFreedom,Serene Freedom,#Trump2020 Support #WalkAway & #Blexit #1A #2A #IFBAP #MAGA #Crypto Find a Cure for #TDS
@smithandre835,DREY KING,Hey my name is Drey King I’m Traffic & Leads Specialist Teaching business owners how to generate income using paid advertising...
@danaugrs,Daniel Salvadori,"Machine Learning + Computer Graphics. Gopher, Pythonista, Rustacean."
@Buscar_Trabajo,"Employment searcher,job ads etc",You can post here your search or job offer. Tweet the geographical area and what you are looking for or your offer employment to received candidates information
@suddan001,Suddan,Founder @mintly_social || Entrepreneur || Motivator || Speaker || Leader ||Blockchain || AI||Food || Books || Running
@mhaylon,Michael Haylon,Make the most of your time and be good to people.
@debraruh,Debra Ruh,#CEO @RuhGlobal #Host #HumanPotential at #Work & @AXSChat #DisabilityInclusion #Accessibility #SDGs #TECH4GOOD #TECH4ALL #DigitalInclusion @500Valuable #AXSChat
@Eriom_MD,The 270 Gang,SC robert_the3rd| IG Eriom_MD| Writer| Medical Someone | #270Gang
@Bodnaratti,Attila Bodnar,"Internet marketer, affiliate marketer. Need some good tools for your marketing ? Visit my site here: http://softools.org"
@wizzyblast11,Groot,STEM ¦ Impulsive Poet ¦ Wanderlust ¦ Piano music ¦ Blockchain & Crypto enthusiast ¦ Giver ¦ Writer ¦ Creative at @beam_Africa ¦ ...now you know.
@PawlowskiMario,Mario Pawlowski,CEO @iTrucker_ #Enterpreneur #Chef #Dreamer passionate for #Food #History #Future #AI #SupplyChain #Science #astrophysics #Tech #Football
@pemawand,Pema Wangdi,"Student, #LearnerForever | I still have a thousand miles to travel. #Love to try something new. #Music is for the soul. Fan of @MarvelStudios . #ILoveYou3000"
@LeadHealthy,Ask David,Psychotherapist Turned Behavioral #Health & Nutrition Coach | 4 Million + @Quora Answer Views | Email me @ YourBehavioralHealth@gmail.com to get #Coaching.
@sobermom35,Bonita Zamora,#livinasoberlife #introvert #lovehelpinothers #iloveGOD #motherof2 #mykidsaremyworld
@RyanMHall,Ryan M Hall,I like inspirational quotes and fucked up jokes. Movie Producer. Web Developer. Lifter of Heavy Things. Dad. Not gonna lie for your approval. New movie:
@ramblingsloa,Ramblings,Birth Place: Earth ~ Race: Human ~ Politics: Freedom ~ Religion: Love........Follow me on Instagram @ramblingsloa
@Bostengo,Bradley.J,"""Big picture"" trader/investor looking to capitalize on emerging trends. Like to keep an eye on stocks/ETFs at new highs and on IBD-type growth stocks."
@ibaghai,Iman Baghai,
@NicholasKahihu,NicholasKahihu,You take the red pill - you stay in Wonderland and I show you how deep the rabbit-hole goes.
@sandy_veltri,Sandy Veltri,"Retired higher education administrator. Married, with two adult children."
@ffdavid60,David Forster,Waiting for a takeover of NUFC..CANCELLED 1892 seats. ON HOLD UNTIL ASHLEY LEAVES...Two Countries . NUFC.
@Kwiki_stingray,KwikiLinks,#HolbertonSchool #Wikipedia #Coding #Tech KwikiLinks. Our product finds the fastest way from one Wikipedia entry to another by traversing through the links.
@ElenaBelco,Elena Belyayeva,"CEO @BelcoBTM Buy/Sell #Bitcoin #Litecoin #Ethereum #Bitcoincash #binancecoin #xrp at our ATM locations in New Jersey, New York soon. Stay tuned!"
@TomHall,Tom Hall,"Premier Twitter Master to CEOs, Entertainers, Influencers & Thought Leaders; We Build Strategic Twitter Followings. Connoisseur of Adventures & Cocktails!"
@TJHuntley,TJ Huntley,"Poet, Edgar Allan Poe fan, Starbucksaholic & time traveler. Currently writing a book of poetry. IG: http://instagram.com/tjhuntley"
@_cavy_,Cavy,I'm just trying my best over here.
@seraQetra,BruceALMIGHTY,"Bruce Baker, pop art painter, author, game maker, film maker Contact: brucebaker.slc at gmail dot com"
@efinit,Ξbonic Ξse,I Stimulate Life And Matter ★7) • Father • Creator • Web Developer • Mind Traveler • Wordsmith • Rebel • Smartass
@alison_iot,Alison Oliver,"#IoT Innovator, #Tech Idea Agent, Life-long Learner. Connecting the World, One Thing at a Time. #Iowa Girl! #IoE #IIoT #BigData #PredictiveAnalytics"
@delanovc,Delano V. Covarrubias,Student @UTexasMSTC • Business Dev @vmware • love @spurs
@hudson_chatbots,Emma Hudson,Big #Tech - Developer of #ChatBots - Lover of #Space photos!
@kararedman,Kara Redman,Owner & CEO @backroom . I build brands for and .
@BigData_Joe,Joe Bond,#BigData Believer. Songwriter of #Algorithms. Man of Winter. #Data Entrepreneur. Downhill #Skier. Not into Symantec Layers. #DataLakes #Hadoop #MachineLearning
@Siyarin3,Siyarin,Superhuman
@JolaBurnett,Jola Burnett,Vice President @GfK #Marketing #Futurist #TechForGood #Columnist @MediaPost @CustomerThink Speaker @M2M @_MediaFusion @MediaPost @GlobalShea @AMA_Marketing
@cjtantay,Cecil John Tantay,Semantic HTML Engineer | I learn by diving and hitting my head into things; Team Lead @Lambdaschool
@Harry_Robots,Harry Miller,"#Robotics Teacher, Community Volunteer, Friends and Family Investor in #Robots, Promoter of #Startups focused on #Autonomous Systems."
@fogle_shane,Shane Fogle,"Aerospace, Air Transport and Defense I #DevSecOps I #ProductOwner I #ScrumMaster I #DesignThinker I ex @IBMSecurity I @USArmy Veteran I #ReachBeyond #ATD"
@AlexaceneEra,Alexacene,"What happens going forward is about the interaction of #AI, humans and #Earth"
@realColinMac,Colin McGuire,Entrepreneur/ Investor - #TechEvangelist - #Futurist - - Foodie - Animal lover #cdntech #AI #AR #VR #VC #Startup
@ArtsandClouds,Peter G. Goral,"Amplifier Of Brands, Accomplished Artist, RadioHost, Executive Advisor to #CEO's, Social Media Strategist, Social Connector, Micro-Influencer"
@WordsofWalterB,Brandon Walter,"VP of Product at Parabeac. Previously venture capital analyst, PM Intern @mailchimp , SMB Owner."
@digitalcloudgal,Jo Peterson,VP Cloud| IT Optimization and Strategic Sourcing in #Cloud and #Cybersecurity| Forbes Technology Council Member| Female Tech Champion| USAF Vet|
@sharifulcoder,Shariful Coder,I am a professional #WordPress Developer and #WebDesigner. Also Expert #WooCommerce #eCommerce . I have been working as a Web Developer for a very long time.
@gcfounders,GC Founders,"We are a digital VC Fund, but with a passionate purpose. Connecting you founders, with the most genetically connected investors for your business. DM your deck!"
@firatinblogu,Fırat,Journalist • Reklam için: DM
@martys_minute,Marty Pasternak,I am a father of an amazing girl and an educator! I have a passion for pushing myself to my limit and share that with others through my podcast and blog!
@madajian,aroma oil diffuser,manufacturer of aroma diffusers--Brisk
@svp7,Saurabh,“Don't make a permanent decision based on temporary emotions.” - anonymous
@billdifulvio,Bill DiFulvio,"software Engineer at Brooksource. Co-founder of http://flexlog.app My opinions are my own, but you can borrow them. http://billdifulvio.com"
@mbubany,Midge Bubany,"Author of the Cal Sheehan mysteries. Member of the Twin Cities Sisters in Crime. Facebook: Midge Bubany, Author"
@Tryjustbeing,Paul,"Living, not working, by being. #selfRealisation, #enlightenment, #absoluteTruth. Non-dual mentor/coach"
@CurableSmoothie,The Curable Recipes,"Vitamin, Whole Food and Herbal Experts"
@50Plushealths,Angela J. White,Expert in the Fields of Hormones and Dietary Minerals and Healthy Recipes
@kezIIy,Kezi,"Smile, it's free Entrepreneur, Life Coach"
@TonyFumano,Tony Fumano,Traveler.
@mayann83927271,may ann,my character depends on u...
@philosophypills,Marylin Delgado,"Former Associate Professor. Author. Ethics. Intersections of Epistemology, Philosophy of Mind and Ethics. Human Agency. Art. Science."
@WhiteWino,Hank Harrison,"If you steal, be Robin Hood."
@filipe_f_silva,Filipe Silva,"Curious by nature, I'm passionate about life, family, friends, work and everything that wheels around science, technology and digital marketing!"
@JJConway777,JJ,"Helping the next generation develop new strategies and techniques for a successful life. Motivational Speaker, Corporate sales trainer, Life Coach."
@Abdul_Qadir41,Gregory L. Jordan Sr. @FFT_Squad,Full Stack Dev | Lambda School student | Passionate Developer | Atlanta resident | @FFT_Squad Member | Programming for change
@THEADVISORY3,THE ADVISORY,Business consultant | Professional CV writer and editor | Relationship coach | Career talks | Entry-Level job posts and tips
@laney5net,Shannon Reed,"One of a kind, I have a light that shines bright as the sun, but the sun only comes out in the daytime. So give me the light and I will do the same in return."
@feedthatgame,Feed That Game,"Buyers Guide, Reviews #DeerFeeders Enjoy #wildlife with #gamecameras top #deercameras #gamefeeders Learn about #deer #feeders feeding times buy #deerfeed visit"
@_CryptoCurator,Paul McNeal #BTC20K,Bitcoin Evangelist and Aficionado. Military Veteran. Friend. Mentor. Super Connector. Brand Evangelist. Tesla Enthusiast. ESFJ. Single ;)
@Mikosi_N,Ndivho,University of Venda ... Cricket and Rugby Addict ... CR7 .. Foodie... Proverbs 31:30 @lidodaduvha
@keveightysev,Kevin Smith,JavaScript Developer
@WorldFogWatch,Bryan Geer,"International playboy, witty raconteur, boon companion. Author: FOG WATCH and DRACULA'S BLACK CADILLAC and BEAUTIFUL YOUNG DEAD GIRLS. http://bit.ly/BWGeer"
@Gleaming_Sword,The Gleaming Sword,Cultural omnivore. Lover of ideas. Blogger.
@InnovationIID,Develop Innovation,An educational & business catalyst for financial services members determined to grow their businesses in a world of accelerating change.
@ThatBlokeSean,Sean Melvin,Law Firm Finance Systems Consultant and Lecturer. Love using Excel. I tweet weekly about things that interest me and hopefully you.
@rinaparsegian,Rina,Mom learning to code Amateur photographer #CodeNewbie #MomsCanCode #WomenCanCode
@meg_inks,Megan Jones,Software Developer. Writer. Human. MA in English Literature. Web Dev & Comp Sci Student at @LambdaSchool . Polyglot. Mi piace parlare italiano.
@perezgxavier,Xavier Pérez,Software Engineer at @nexxiasoft . I love science & technology and I tweet about everything.
@alisalahio,Ali Salah,http://Supstatus.com http://Sipreads.com
@_Tramane_,Tramane,Aut inveniam viam aut faciam
@dcwj,Daniel Colin James,Front-end developer and writer. Almost never serious. Working on @givebat and imagining the future with @ForwardTick .
@Whatevah_Amy,Whatever_Amy,Whiskey lover and hater of pigeons. Disgruntled commuter and shitty golfer. Go Navy! Beat Army! MY ONLY ACCOUNT! https://twitter.com/search/from:@whatevah_amy…
@MphoDuki,Mpho,Shy introvert Socially awkward Sarcastic Merc-AMG fan Naughty Electrical Eng N6 in need of practical experience Ladies DM's open
@zawhtunwin14,zaw htun win,
@kaymusyoka,KIMANZI,Industrial Engineer.
@jaybug1313,Jay #StayTrue,"Sports,movies,family,all people are beautiful ifb DM for Promos"
@marabellum,Abby,Etéreo
@ndumiso_nkosi1,"12 June 2019
Ndumiso Nkosi Sjukes","Communication & Marketing Specialist, Motivator, Project & Brand Manager, Events Manager, CLM Prod, TEES, SDA, Bucs & Liverpool FC , nkosi.sjukes@gmail.com"
@IAmAtlasPodcast,I Am Atlas,"Just a couple of knuckle heads talking about being a husband, a dad, about manhood and the pursuit to being better through a community of like minded folks."
@MysticallyM,MysticallyMundane,MYSTICALLY MUNDANE PODCAST! Sharing stories & maps of life in the multiverse. #WritingCommunity #mystic #meditation #love #spirituality #mindfulness #FUN
@cckirksa,CC Kirk,"Unknown author of a series of detective stories with a theme of follow the money. Chartered accountant, portfolio manager and cattle farmer."
@julienjamar,Julien Jamar,"Author of the YA fantasy novels #theNamarielle and #theFontre I write, homeschool five kids and drink coffee to excess. #WritingCommunity #savelashai #amwriting"
@esimbaya,Enock I. Simbaya,Love. Adventure. Transformation.
@albertstartup,Albert,"Full stack engineer, blue belt React ninja, black belt bug-jitsu."
@nandhiji,Nandhiji,Visionary Yogi Humanitarian Declaration of Consciousness http://signdc.org Author: Mastery of Consciousness http://bit.ly/Attain108 #ClimateChange #Veg #Yoga #Compassion
